计费对象,产品名称,产品到期时间,状态,停机类型,客户编号,用户类型,客户等级,网络类型,业务备注,收费类型,入网时间,渠道名称,网格序号
ys0015561,宽带10M产品,6/25/2017,正使用,正常,c10002109695,新用户,5星ABD客户,城网用户,EOC接入,普通,5/17/2011, , 
ys0023214,宽带4M产品,7/24/2017,正使用,正常,c10002109697,新用户,5星ABD客户,城网用户,EOC接入,农网居民,2/23/2012, , 
ys0082301,宽带10M产品,6/25/2017,正使用,正常,c10002109701,新用户,5星ABD客户,城网用户,EOC接入,普通,2/8/2015, , 
ys0022748,宽带10M产品,2/26/2018,正使用,正常,c10002114185,新用户,5星ABD客户,农网用户,EOC接入,普通,1/17/2012, , 
ys0056409,宽带10M产品,1/3/2018,正使用,正常,c10002114884,新用户,5星ABD客户,城网用户,EOC接入,普通,1/2/2014, , 
ys0083681,宽带10M产品,5/8/2017,正使用,正常,c10002118933,新用户,5星ABD客户,城网用户,EOC接入,普通,3/13/2015, , 
ys0074844,宽带10M产品,10/29/2016,已停用,欠费停机,c10006305966,新用户,离线,农网用户,EOC接入,农网居民,10/15/2014, , 
ys0080014,宽带10M产品,1/5/2018,正使用,正常,c10002120172,新用户,5星ABD客户,城网用户,EOC接入,普通,1/6/2015, , 
ys0070152,宽带4M产品,7/15/2015,已停用,客户报停,c10002120173,新用户,3星AB客户,城网用户,EOC接入,普通,7/16/2014, , 
ys0040259,宽带10M产品,8/25/2017,正使用,正常,c10002120293,新用户,5星ABD客户,城网用户,EOC接入,农网居民,5/13/2013, , 
ys0074865,宽带10M产品,11/18/2017,正使用,正常,c10002123835,新用户,5星ABD客户,城网用户,EOC接入,普通,10/15/2014, , 
ys0041355,宽带10M产品,5/27/2017,正使用,正常,c10002125494,新用户,5星ABD客户,农网用户,EOC接入,普通,6/2/2013, , 
ys0057767,宽带10M产品,11/3/2016,已停用,欠费停机,c10007202177,新用户,离线,农网用户,EOC接入,普通,1/14/2014, , 
ys0056459,宽带10M产品,3/6/2017,正使用,正常,c10002125848,新用户,1星D客户,农网用户,EOC接入,普通,1/2/2014, , 
ys0080035,宽带10M产品,2/5/2018,正使用,正常,c10002125908,新用户,5星ABD客户,城网用户,EOC接入,普通,1/6/2015, , 
ys0046632,宽带10M产品,9/14/2017,正使用,正常,c10002126686,新用户,5星ABD客户,城网用户,EOC接入,普通,8/30/2013, , 
ys0130153,宽带10M产品,1/16/2018,正使用,正常,c10002126687,新用户,5星ABD客户,城网用户,EOC接入,普通,1/17/2017, , 
ys0016491,宽带10M产品,11/29/2017,正使用,正常,c10002203661,新用户,5星ABD客户,城网用户,LAN接入,普通,6/20/2011, , 
ys0045160,宽带10M产品,12/26/2017,正使用,正常,c10002204537,新用户,5星ABD客户,城网用户,LAN接入,普通,8/7/2013, , 
ys0096736,宽带10M产品,11/4/2016,已停用,欠费停机,c10008675505,新用户,离线,城网用户,EOC接入,普通,11/4/2015, , 
ys0027721,宽带10M产品,1/22/2018,正使用,正常,c10002204542,新用户,5星ABD客户,城网用户,LAN接入,普通,7/9/2012, , 
ys0031693,宽带10M产品,3/13/2018,正使用,正常,c10002204543,新用户,5星ABD客户,城网用户,EOC接入,广电系统,10/26/2012, , 
ys0087107,宽带10M产品,5/23/2017,正使用,正常,c10002209922,新用户,5星ABD客户,城网用户,EOC接入,普通,5/24/2015, , 
ys0018042,宽带10M产品,4/16/2017,正使用,正常,c10002209924,新用户,5星ABD客户,城网用户,EOC接入,普通,8/6/2011, , 
ys0046621,宽带10M产品,10/21/2017,正使用,正常,c10002209927,新用户,5星ABD客户,城网用户,EOC接入,普通,8/30/2013, , 
ys0032342,宽带10M产品,8/28/2017,正使用,正常,c10002209929,新用户,5星ABD客户,城网用户,EOC接入,农网居民,11/10/2012, , 
ys0125430,宽带20M产品,11/30/2017,正使用,正常,c10002209946,新用户,5星ABD客户,城网用户,EOC接入,农网居民,12/1/2016, , 
ys0012610,宽带10M产品,7/4/2017,正使用,正常,c10002217047,新用户,5星ABD客户,城网用户,EOC接入,广电系统,2/19/2011, , 
ys0087979,宽带10M产品,10/11/2017,正使用,正常,c10002236312,新用户,5星ABD客户,城网用户,EOC接入,广电系统,6/11/2015, , 
ys0065899,宽带10M产品,6/11/2017,正使用,正常,c10002236313,新用户,5星ABD客户,城网用户,EOC接入,广电系统,5/12/2014, , 
ys0043657,宽带10M产品,10/11/2017,正使用,正常,c10002236316,新用户,5星ABD客户,城网用户,EOC接入,普通,7/9/2013, , 
ys0076592,宽带10M产品,3/14/2017,正使用,正常,c10002236322,新用户,5星ABD客户,城网用户,EOC接入,普通,11/15/2014, , 
ys0037844,宽带4M产品,6/29/2017,正使用,正常,c10002236332,新用户,5星ABD客户,城网用户,EOC接入,普通,3/23/2013, , 
ys0085178,宽带10M产品,1/11/2018,正使用,正常,c10002236334,新用户,5星ABD客户,城网用户,EOC接入,普通,4/16/2015, , 
ys0082223,宽带10M产品,6/19/2017,正使用,正常,c10002236335,新用户,5星ABD客户,城网用户,EOC接入,普通,2/6/2015, , 
ys0075274,宽带10M产品,3/21/2018,正使用,正常,c10002236336,新用户,1星D客户,城网用户,LAN接入,广电系统,10/23/2014, , 
ys0044635,宽带4M产品,8/25/2017,正使用,正常,c10002236337,新用户,3星AD客户,城网用户,EOC接入,普通,7/28/2013, , 
ys0085804,宽带10M产品,10/5/2017,正使用,正常,c10002239189,新用户,5星ABD客户,城网用户,EOC接入,农网居民,4/30/2015, , 
ys0023467,宽带10M产品,11/30/2017,正使用,正常,c10002241607,新用户,5星ABD客户,城网用户,EOC接入,普通,2/20/2012, , 
ys0127407,宽带10M产品,12/23/2017,正使用,正常,c10002247402,新用户,VIP商业个人客户,城网用户,EOC接入,普通,12/24/2016, , 
ys0062065,宽带10M产品,1/19/2018,正使用,正常,c10002261387,新用户,5星ABD客户,农网用户,EOC接入,普通,3/6/2014, , 
ys0044083,宽带10M产品,8/25/2017,正使用,正常,c10002262665,新用户,5星ABD客户,城网用户,EOC接入,农网居民,7/17/2013, , 
ys0046875,宽带10M产品,10/6/2017,正使用,正常,c10002262670,新用户,5星ABD客户,城网用户,EOC接入,普通,9/3/2013, , 
ys0096864,宽带10M产品,11/5/2016,已停用,欠费停机,c10003652158,新用户,离线,城网用户,EOC接入,普通,11/6/2015, , 
ys0061775,宽带10M产品,10/1/2017,正使用,正常,c10002264832,新用户,5星ABD客户,城网用户,EOC接入,农网居民,3/2/2014, , 
ys0090440,宽带4M产品,10/30/2017,正使用,正常,c10002264835,新用户,5星ABD客户,城网用户,EOC接入,农网居民,7/28/2015, , 
ys0081690,宽带10M产品,1/30/2018,正使用,正常,c10002283452,新用户,5星ABD客户,城网用户,EOC接入,普通,1/29/2015, , 
ys0015437,宽带10M产品,6/2/2017,正使用,正常,c10002283482,新用户,5星ABD客户,农网用户,EOC接入,普通,5/13/2011, , 
ys0064051,宽带4M产品,10/7/2017,正使用,正常,c10002283485,新用户,5星ABD客户,农网用户,EOC接入,普通,4/5/2014, , 
ys0059548,宽带10M产品,12/1/2017,正使用,正常,c10002286158,新用户,5星ABD客户,城网用户,EOC接入,普通,1/28/2014, , 
ys0029602,宽带10M产品,6/25/2017,正使用,正常,c10002286460,新用户,5星ABD客户,城网用户,EOC接入,普通,9/3/2012, , 
ys0058263,宽带10M产品,6/2/2017,正使用,正常,c10002286467,新用户,5星ABD客户,城网用户,EOC接入,普通,1/18/2014, , 
ys0087044,宽带10M产品,5/24/2017,正使用,正常,c10002286476,新用户,5星ABD客户,城网用户,EOC接入,普通,5/22/2015, , 
ys0019104,宽带10M产品,12/3/2016,已停用,客户报停,c10002286477,新用户,3星AB客户,城网用户,EOC接入,普通,10/2/2011, , 
ys0017171,宽带10M产品,12/15/2017,正使用,正常,c10002286478,新用户,5星ABD客户,城网用户,EOC接入,普通,7/8/2011, , 
ys0039914,宽带10M产品,1/10/2018,正使用,正常,c10002286480,新用户,5星ABD客户,城网用户,EOC接入,普通,5/7/2013, , 
ys0044552,宽带10M产品,11/7/2016,已停用,欠费停机,c10002391441,新用户,离线,城网用户,LAN接入,普通,7/26/2013, , 
ys0021406,宽带10M产品,12/20/2017,正使用,正常,c10002286483,新用户,5星ABD客户,城网用户,EOC接入,普通,12/22/2011, , 
ys0034373,宽带10M产品,12/22/2017,正使用,正常,c10002286485,新用户,5星ABD客户,城网用户,EOC接入,普通,1/6/2013, , 
ys0096986,宽带10M产品,11/7/2016,已停用,欠费停机,c10008009054,新用户,离线,城网用户,EOC接入,普通,11/8/2015, , 
ys0006851,宽带10M产品,1/16/2018,正使用,正常,c10002286702,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,9/6/2010, , 
ys0013070,宽带10M产品,2/2/2018,正使用,正常,c10002286705,新用户,5星ABD客户,城网用户,EOC接入,普通,3/7/2011, , 
ys0120857,宽带10M产品,10/7/2017,正使用,正常,c10002286710,新用户,5星ABD客户,城网用户,EOC接入,农网居民,10/8/2016, , 
ys0019194,宽带10M产品,1/3/2018,正使用,正常,c10002286711,新用户,5星ABD客户,城网用户,EOC接入,普通,9/28/2011, , 
ys0031732,宽带10M产品,11/8/2016,已停用,欠费停机,c10002599271,新用户,离线,城网用户,LAN接入,普通,10/26/2012, , 
ys0061508,宽带10M产品,1/13/2018,正使用,正常,c10002286713,新用户,5星ABD客户,城网用户,EOC接入,普通,2/26/2014, , 
ys0061089,宽带10M产品,1/17/2018,正使用,正常,c10002286714,新用户,5星ABD客户,城网用户,EOC接入,普通,2/20/2014, , 
ys0081224,宽带10M产品,2/21/2018,正使用,正常,c10002286715,新用户,5星ABD客户,农网用户,EOC接入,广电系统,1/22/2015, , 
ys0060891,宽带10M产品,1/17/2018,正使用,正常,c10002286718,新用户,5星ABD客户,城网用户,EOC接入,普通,2/18/2014, , 
ys0095054,宽带10M产品,11/9/2016,已停用,欠费停机,c10002402702,新用户,离线,城网用户,EOC接入,普通,10/10/2015, , 
ys0023171,宽带10M产品,1/17/2018,正使用,正常,c10002286720,新用户,5星ABD客户,城网用户,EOC接入,普通,2/12/2012, , 
ys0043733,宽带10M产品,2/17/2018,正使用,正常,c10002286721,新用户,5星ABD客户,城网用户,EOC接入,普通,7/11/2013, , 
ys0073494,宽带10M产品,1/18/2018,已停用,客户报停,c10002286722,新用户,5星ABD客户,城网用户,EOC接入,农网居民,9/17/2014, , 
ys0009206,宽带10M产品,1/23/2018,正使用,正常,c10002286725,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,11/22/2010, , 
ys0069929,宽带10M产品,1/30/2018,正使用,正常,c10002286728,新用户,5星ABD客户,城网用户,EOC接入,普通,7/13/2014, , 
ys0081789,宽带10M产品,5/24/2018,正使用,正常,c10002286729,新用户,5星ABD客户,农网用户,EOC接入,普通,1/31/2015, , 
ys0073854,宽带10M产品,1/31/2018,正使用,正常,c10002286982,新用户,5星ABD客户,城网用户,EOC接入,普通,9/24/2014, , 
ys0040138,宽带10M产品,1/25/2018,正使用,正常,c10002286984,新用户,5星ABD客户,农网用户,EOC接入,普通,5/10/2013, , 
ys0021240,宽带10M产品,1/28/2018,正使用,正常,c10002286986,新用户,5星ABD客户,城网用户,EOC接入,普通,12/17/2011, , 
ys0031603,宽带10M产品,2/2/2018,正使用,正常,c10002286990,新用户,5星ABD客户,城网用户,EOC接入,普通,10/24/2012, , 
ys0070543,宽带10M产品,3/9/2017,正使用,正常,c10002286996,新用户,5星ABD客户,城网用户,EOC接入,普通,7/23/2014, , 
ys0077355,宽带10M产品,3/27/2017,正使用,正常,c10002286997,新用户,5星ABD客户,城网用户,EOC接入,普通,11/27/2014, , 
ys0129052,宽带10M产品,1/8/2018,正使用,正常,c10002287004,新用户,5星ABD客户,城网用户,EOC接入,普通,1/9/2017, , 
ys0075686,宽带10M产品,5/31/2017,正使用,正常,c10002287005,新用户,5星ABD客户,城网用户,EOC接入,普通,10/30/2014, , 
ys0051667,宽带10M产品,5/31/2017,正使用,正常,c10002287008,新用户,5星ABD客户,城网用户,EOC接入,普通,11/8/2013, , 
ys0077626,宽带10M产品,5/31/2017,正使用,正常,c10002287009,新用户,5星ABD客户,城网用户,EOC接入,普通,12/1/2014, , 
ys0066760,宽带10M产品,5/31/2017,正使用,正常,c10002287011,新用户,5星ABD客户,城网用户,EOC接入,普通,5/29/2014, , 
ys0048986,宽带10M产品,5/31/2017,正使用,正常,c10002287337,新用户,5星ABD客户,城网用户,EOC接入,普通,10/4/2013, , 
ys0088081,宽带4M产品,6/24/2017,正使用,正常,c10002287350,新用户,5星ABD客户,城网用户,EOC接入,普通,6/14/2015, , 
ys0130860,宽带4M产品,1/22/2018,正使用,正常,c10002287359,新用户,5星ABD客户,城网用户,EOC接入,普通,1/23/2017, , 
ys0040595,宽带10M产品,8/6/2017,正使用,正常,c10002287365,新用户,5星ABD客户,城网用户,EOC接入,普通,5/17/2013, , 
ys0011559,宽带10M产品,5/31/2017,正使用,正常,c10002287366,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,1/14/2011, , 
ys0113236,宽带4M产品,6/27/2017,正使用,正常,c10002287661,新用户,5星ABD客户,城网用户,EOC接入,农网居民,6/28/2016, , 
ys0076256,宽带10M产品,11/9/2016,已停用,欠费停机,c10007567403,新用户,离线,城网用户,EOC接入,普通,11/10/2014, , 
ys0023044,宽带10M产品,5/31/2017,正使用,正常,c10002287688,新用户,5星ABD客户,城网用户,EOC接入,普通,2/6/2012, , 
ys0001505,宽带10M产品,6/1/2017,正使用,正常,c10002288021,宽带续费用户,5星ABD客户,城网用户,EOC接入,广电系统,4/23/2010, , 
ys0059955,宽带10M产品,2/8/2018,正使用,正常,c10002288028,新用户,5星ABD客户,农网用户,EOC接入,普通,2/13/2014, , 
ys0024066,宽带10M产品,6/2/2017,正使用,正常,c10002288030,新用户,5星ABD客户,城网用户,EOC接入,广电系统,3/10/2012, , 
ys0079216,宽带10M产品,6/1/2017,正使用,正常,c10002288037,新用户,5星ABD客户,城网用户,EOC接入,普通,12/26/2014, , 
ys0079326,宽带10M产品,12/26/2017,正使用,正常,c10002288529,新用户,5星ABD客户,城网用户,EOC接入,普通,12/27/2014, , 
ys0025074,宽带10M产品,12/13/2017,正使用,正常,c10002288886,新用户,5星ABD客户,城网用户,EOC接入,普通,4/13/2012, , 
ys0070156,宽带4M产品,11/28/2017,正使用,正常,c10002292058,新用户,5星ABD客户,农网用户,EOC接入,普通,7/16/2014, , 
ys0031724,宽带10M产品,6/2/2017,正使用,正常,c10002292418,新用户,5星ABD客户,城网用户,EOC接入,普通,10/26/2012, , 
ys0028244,宽带10M产品,10/6/2017,正使用,正常,c10002292420,新用户,5星ABD客户,城网用户,EOC接入,普通,7/22/2012, , 
ys0031314,宽带10M产品,6/2/2017,正使用,正常,c10002292683,新用户,5星ABD客户,城网用户,EOC接入,普通,10/17/2012, , 
ys0078100,宽带10M产品,12/10/2017,正使用,正常,c10002314730,新用户,5星ABD客户,城网用户,EOC接入,普通,12/8/2014, , 
ys0080852,宽带10M产品,5/21/2017,正使用,正常,c10002326958,新用户,5星ABD客户,城网用户,EOC接入,普通,1/17/2015, , 
ys0124276,宽带4M产品,11/16/2017,正使用,正常,c10002333921,新用户,5星ABD客户,农网用户,EOC接入,普通,11/17/2016, , 
ys0080404,宽带10M产品,6/3/2017,正使用,正常,c10002333923,新用户,5星ABD客户,农网用户,EOC接入,普通,1/12/2015, , 
ys0042238,宽带10M产品,10/25/2017,正使用,正常,c10002333929,新用户,5星ABD客户,农网用户,EOC接入,普通,6/18/2013, , 
ys0022688,宽带4M产品,12/13/2017,正使用,正常,c10002336028,新用户,5星ABD客户,农网用户,EOC接入,普通,1/16/2012, , 
ys0089380,宽带10M产品,8/6/2017,正使用,正常,c10002336031,新用户,5星ABD客户,农网用户,EOC接入,普通,7/7/2015, , 
ys0019751,宽带10M产品,10/27/2017,正使用,正常,c10002336035,新用户,5星ABD客户,农网用户,EOC接入,普通,10/24/2011, , 
ys0040810,宽带4M产品,10/10/2017,正使用,正常,c10002336045,新用户,5星ABD客户,农网用户,EOC接入,普通,5/22/2013, , 
ys0077869,宽带10M产品,12/4/2017,正使用,正常,c10002336046,新用户,5星ABD客户,城网用户,EOC接入,普通,12/4/2014, , 
ys0111083,宽带10M产品,6/23/2017,正使用,正常,c10002336047,新用户,5星ABD客户,农网用户,EOC接入,普通,5/24/2016, , 
ys0013380,宽带10M产品,10/11/2017,正使用,正常,c10002336048,新用户,5星ABD客户,农网用户,EOC接入,普通,3/10/2011, , 
ys0050244,宽带4M产品,10/11/2017,正使用,正常,c10002336049,新用户,5星ABD客户,农网用户,EOC接入,普通,10/20/2013, , 
ys0081162,宽带4M产品,10/11/2017,正使用,正常,c10002336050,新用户,5星ABD客户,农网用户,EOC接入,普通,1/22/2015, , 
ys0051225,宽带10M产品,10/29/2017,正使用,正常,c10002336051,新用户,5星ABD客户,城网用户,EOC接入,农网居民,11/1/2013, , 
ys0056131,宽带10M产品,1/22/2018,正使用,正常,c10002336053,新用户,5星ABD客户,城网用户,EOC接入,广电系统,12/30/2013, , 
ys0042521,宽带10M产品,7/14/2017,正使用,正常,c10002336168,新用户,5星ABD客户,农网用户,LAN接入,广电系统,6/23/2013, , 
ys0019752,宽带10M产品,10/27/2017,正使用,正常,c10002336170,新用户,5星ABD客户,城网用户,EOC接入,普通,10/24/2011, , 
ys0023848,宽带10M产品,1/21/2018,正使用,正常,c10002336178,新用户,5星ABD客户,城网用户,EOC接入,普通,3/3/2012, , 
ys0019753,宽带10M产品,10/27/2017,正使用,正常,c10002336191,新用户,5星ABD客户,农网用户,EOC接入,普通,10/24/2011, , 
ys0067608,宽带10M产品,10/11/2017,正使用,正常,c10002336378,新用户,5星ABD客户,农网用户,EOC接入,普通,6/10/2014, , 
ys0056141,宽带10M产品,5/19/2018,正使用,正常,c10002336382,新用户,5星ABD客户,农网用户,EOC接入,广电系统,12/30/2013, , 
ys0050750,宽带10M产品,9/5/2017,正使用,正常,c10002336385,新用户,5星ABD客户,城网用户,EOC接入,农网居民,10/27/2013, , 
ys0050533,宽带10M产品,5/28/2017,正使用,正常,c10002336387,新用户,5星ABD客户,城网用户,EOC接入,普通,10/24/2013, , 
ys0067956,宽带10M产品,7/17/2017,正使用,正常,c10002336507,新用户,5星ABD客户,城网用户,EOC接入,普通,6/18/2014, , 
ys0076227,宽带10M产品,11/10/2016,已停用,欠费停机,c10007308793,新用户,3星AB客户,城网用户,EOC接入,广电系统,11/10/2014, , 
ys0019749,宽带10M产品,10/27/2017,正使用,正常,c10002336526,新用户,5星ABD客户,农网用户,EOC接入,普通,10/24/2011, , 
ys0049749,宽带10M产品,10/27/2017,正使用,正常,c10002336532,新用户,5星ABD客户,农网用户,LAN接入,普通,10/15/2013, , 
ys0092111,宽带10M产品,11/23/2017,正使用,正常,c10002336533,新用户,5星ABD客户,城网用户,EOC接入,广电系统,8/29/2015, , 
ys0017131,宽带10M产品,5/24/2017,正使用,正常,c10002336719,新用户,5星ABD客户,农网用户,EOC接入,普通,7/7/2011, , 
ys0040104,宽带10M产品,9/28/2017,正使用,正常,c10002337157,新用户,5星ABD客户,城网用户,EOC接入,普通,5/10/2013, , 
ys0012717,宽带10M产品,11/10/2016,已停用,欠费停机,c10007568095,新用户,3星AB客户, ,EOC接入,广电系统,2/23/2011, , 
ys0024849,宽带10M产品,6/28/2017,正使用,正常,c10002337174,新用户,5星ABD客户,城网用户,LAN接入,普通,4/6/2012, , 
ys0070021,宽带10M产品,11/11/2017,正使用,正常,c10002337446,新用户,5星ABD客户,城网用户,EOC接入,农网居民,7/15/2014, , 
ys0007154,宽带4M产品,10/25/2017,正使用,正常,c10002337786,新用户,5星ABD客户,城网用户,EOC接入,农网居民,9/15/2010, , 
ys0014454,宽带10M产品,10/21/2017,正使用,正常,c10002338048,宽带续费用户,3星AD客户,城网用户,EOC接入,普通,4/8/2011, , 
ys0080742,宽带10M产品,6/3/2017,正使用,正常,c10002338055,新用户,5星ABD客户,农网用户,EOC接入,农网居民,1/16/2015, , 
ys0025368,宽带10M产品,6/2/2017,正使用,正常,c10002339861,新用户,5星ABD客户,城网用户,EOC接入,普通,4/25/2012, , 
ys0020417,宽带4M产品,10/25/2017,正使用,正常,c10002339863,新用户,5星ABD客户,农网用户,EOC接入,普通,11/18/2011, , 
ys0023884,宽带4M产品,11/30/2017,正使用,正常,c10002340349,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,3/4/2012, , 
ys0000073,宽带4M产品,11/30/2017,正使用,正常,c10002340349,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,3/16/2010, , 
ys0016068,宽带4M产品,11/30/2017,正使用,正常,c10002340350,新用户,5星ABD客户,城网用户,EOC接入,普通,6/3/2011, , 
ys0028313,宽带4M产品,11/30/2017,正使用,正常,c10002340350,新用户,5星ABD客户,城网用户,EOC接入,普通,7/24/2012, , 
ys0018639,宽带4M产品,11/30/2017,正使用,正常,c10002340352,新用户,5星ABD客户,城网用户,EOC接入,普通,9/1/2011, , 
ys0016101,宽带4M产品,11/30/2017,正使用,正常,c10002340352,新用户,5星ABD客户,城网用户,EOC接入,普通,6/5/2011, , 
ys0094608,宽带10M产品,12/1/2017,正使用,正常,c10002340526,新用户,5星ABD客户,城网用户,EOC接入,普通,10/4/2015, , 
ys0029528,宽带4M产品,11/30/2017,正使用,正常,c10002340534,新用户,5星ABD客户,城网用户,EOC接入,普通,8/31/2012, , 
ys0014893,宽带4M产品,11/30/2017,正使用,正常,c10002340534,新用户,5星ABD客户,城网用户,EOC接入,普通,4/23/2011, , 
ys0019183,宽带4M产品,11/30/2017,正使用,正常,c10002340535,新用户,5星ABD客户,城网用户,EOC接入,普通,9/28/2011, , 
ys0027542,宽带4M产品,11/30/2017,正使用,正常,c10002340535,新用户,5星ABD客户,城网用户,EOC接入,普通,7/3/2012, , 
ys0026284,宽带4M产品,11/30/2017,正使用,正常,c10002340536,新用户,5星ABD客户,城网用户,EOC接入,普通,5/26/2012, , 
ys0051564,宽带4M产品,11/30/2017,正使用,正常,c10002340536,新用户,5星ABD客户,城网用户,EOC接入,普通,11/6/2013, , 
ys0051763,宽带4M产品,11/30/2017,正使用,正常,c10002340537,新用户,5星ABD客户,城网用户,EOC接入,广电系统,11/9/2013, , 
ys0051704,宽带4M产品,11/30/2017,正使用,正常,c10002340537,新用户,5星ABD客户,城网用户,EOC接入,广电系统,11/8/2013, , 
ys0015477,宽带4M产品,11/30/2017,正使用,正常,c10002340539,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,5/14/2011, , 
ys0003079,宽带4M产品,11/30/2017,正使用,正常,c10002340539,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,6/9/2010, , 
ys0022741,宽带4M产品,11/30/2017,正使用,正常,c10002340540,新用户,5星ABD客户,城网用户,EOC接入,普通,1/17/2012, , 
ys0040261,宽带4M产品,11/30/2017,正使用,正常,c10002340540,新用户,5星ABD客户,城网用户,EOC接入,普通,5/13/2013, , 
ys0085815,宽带4M产品,10/7/2017,正使用,正常,c10002340541,新用户,5星ABD客户,城网用户,EOC接入,农网居民,4/30/2015, , 
ys0074170,宽带10M产品,10/29/2017,正使用,正常,c10002340545,新用户,5星ABD客户,城网用户,EOC接入,农网居民,9/30/2014, , 
ys0067404,宽带10M产品,6/8/2017,正使用,正常,c10002340655,新用户,5星ABD客户,城网用户,EOC接入,普通,6/7/2014, , 
ys0127316,宽带10M产品,12/22/2017,正使用,正常,c10002340675,新用户,5星ABD客户,城网用户,EOC接入,普通,12/23/2016, , 
ys0045025,宽带10M产品,9/26/2017,正使用,正常,c10002341604,新用户,5星ABD客户,城网用户,EOC接入,农网居民,8/5/2013, , 
ys0076077,宽带10M产品,5/5/2017,正使用,正常,c10002341683,新用户,5星ABD客户,城网用户,EOC接入,普通,11/7/2014, , 
ys0040308,宽带10M产品,5/13/2017,正使用,正常,c10002341693,新用户,5星ABD客户,城网用户,EOC接入,广电系统,5/13/2013, , 
ys0094907,宽带10M产品,12/27/2017,正使用,正常,c10002341941,新用户,5星ABD客户,城网用户,EOC接入,普通,10/9/2015, , 
ys0039744,宽带4M产品,12/18/2017,正使用,正常,c10002342242,新用户,5星ABD客户,城网用户,EOC接入,普通,5/3/2013, , 
ys0093705,宽带10M产品,10/22/2017,正使用,正常,c10002342562,新用户,5星ABD客户,城网用户,EOC接入,普通,9/23/2015, , 
ys0007875,宽带10M产品,12/12/2017,正使用,正常,c10002343224,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,10/11/2010, , 
ys0085440,宽带10M产品,4/21/2017,正使用,正常,c10002344050,新用户,5星ABD客户,城网用户,EOC接入,普通,4/22/2015, , 
ys0074896,宽带10M产品,11/16/2017,正使用,正常,c10002346868,新用户,VIP商业个人客户,城网用户,EOC接入,农网居民,10/16/2014, , 
ys0097385,宽带10M产品,11/12/2016,已停用,欠费停机,c10008016879,新用户,3星AB客户,城网用户,EOC接入,普通,11/13/2015, , 
ys0051491,宽带10M产品,12/1/2017,正使用,正常,c10002353960,新用户,5星ABD客户,城网用户,EOC接入,普通,11/5/2013, , 
ys0041658,宽带10M产品,6/8/2017,正使用,正常,c10002356834,新用户,5星ABD客户,城网用户,EOC接入,普通,6/8/2013, , 
ys0096043,宽带10M产品,11/23/2017,正使用,正常,c10002358741,新用户,5星ABD客户,城网用户,EOC接入,农网居民,10/24/2015, , 
ys0011647,宽带10M产品,6/12/2017,正使用,正常,c10002359752,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,1/16/2011, , 
ys0047595,宽带10M产品,10/9/2016,已停用,客户报停,c10002359754,新用户,3星AB客户,城网用户,EOC接入,普通,9/14/2013, , 
ys0022635,宽带10M产品,8/15/2018,正使用,正常,c10002359759,新用户,5星ABD客户,城网用户,EOC接入,普通,1/16/2012, , 
ys0085297,宽带4M产品,6/25/2017,正使用,正常,c10002359766,新用户,5星ABD客户,城网用户,EOC接入,普通,4/20/2015, , 
ys0009948,宽带4M产品,10/24/2017,正使用,正常,c10002359889,宽带续费用户,5星ABD客户,城网用户,EOC接入,农网居民,12/10/2010, , 
ys0056832,宽带10M产品,12/5/2017,正使用,正常,c10002360145,新用户,5星ABD客户,城网用户,EOC接入,普通,1/6/2014, , 
ys0088134,宽带10M产品,6/14/2017,正使用,正常,c10002360150,新用户,5星ABD客户,城网用户,EOC接入,广电系统,6/15/2015, , 
ys0076099,宽带10M产品,11/7/2017,正使用,正常,c10002360608,新用户,5星ABD客户,城网用户,EOC接入,普通,11/8/2014, , 
ys0013965,宽带10M产品,10/23/2017,正使用,正常,c10002364646,宽带续费用户,5星ABD客户,城网用户,LAN接入,农网居民,3/25/2011, , 
ys0068520,宽带10M产品,1/19/2018,正使用,正常,c10002364647,新用户,5星ABD客户,城网用户,EOC接入,普通,6/26/2014, , 
ys0070915,宽带10M产品,7/29/2017,正使用,正常,c10002365860,新用户,5星ABD客户,城网用户,EOC接入,农网居民,7/29/2014, , 
ys0000702,宽带10M产品,2/19/2017,正使用,正常,c10002365865,宽带续费用户,3星AD客户,城网用户,EOC接入,广电系统,4/1/2010, , 
ys0029348,宽带10M产品,12/24/2017,正使用,正常,c10002365874,新用户,5星ABD客户,城网用户,EOC接入,普通,8/25/2012, , 
ys0041053,宽带4M产品,10/10/2017,正使用,正常,c10002365994,新用户,5星ABD客户,城网用户,LAN接入,广电系统,5/27/2013, , 
ys0024905,宽带10M产品,11/16/2017,正使用,正常,c10002366011,新用户,5星ABD客户,城网用户,LAN接入,普通,4/9/2012, , 
ys0013423,宽带10M产品,1/26/2018,正使用,正常,c10002366200,新用户,5星ABD客户,城网用户,EOC接入,普通,3/12/2011, , 
ys0037489,宽带10M产品,8/3/2017,正使用,正常,c10002366327,新用户,5星ABD客户,城网用户,EOC接入,农网居民,3/15/2013, , 
